1.LAYING 2.LAYING 3.LAYING 4.LAYING 5.LAYING 6.LAYING 7.LAYING 8.LAYING 9.LAYING 10.LAYING 11.LAYING 12.LAYING 13.LAYING 14.LAYING 15.LAYING 16.LAYING 17.LAYING 18.LAYING 19.LAYING 20.LAYING 21.LAYING 22.LAYING 23.LAYING 24.LAYING 25.LAYING 26.LAYING 27.LAYING 28.LAYING 29.LAYING 30.LAYING 1.SITTING 2.SITTING 3.SITTING 4.SITTING 5.SITTING 6.SITTING 7.SITTING 8.SITTING 9.SITTING 10.SITTING 11.SITTING 12.SITTING 13.SITTING 14.SITTING 15.SITTING 16.SITTING 17.SITTING 18.SITTING 19.SITTING 20.SITTING 21.SITTING 22.SITTING 23.SITTING 24.SITTING 25.SITTING 26.SITTING 27.SITTING 28.SITTING 29.SITTING 30.SITTING 1.STANDING 2.STANDING 3.STANDING 4.STANDING 5.STANDING 6.STANDING 7.STANDING 8.STANDING 9.STANDING 10.STANDING 11.STANDING 12.STANDING 13.STANDING 14.STANDING 15.STANDING 16.STANDING 17.STANDING 18.STANDING 19.STANDING 20.STANDING 21.STANDING 22.STANDING 23.STANDING 24.STANDING 25.STANDING 26.STANDING 27.STANDING 28.STANDING 29.STANDING 30.STANDING 1.WALKING 2.WALKING 3.WALKING 4.WALKING 5.WALKING 6.WALKING 7.WALKING 8.WALKING 9.WALKING 10.WALKING 11.WALKING 12.WALKING 13.WALKING 14.WALKING 15.WALKING 16.WALKING 17.WALKING 18.WALKING 19.WALKING 20.WALKING 21.WALKING 22.WALKING 23.WALKING 24.WALKING 25.WALKING 26.WALKING 27.WALKING 28.WALKING 29.WALKING 30.WALKING 1.WALKING_DOWNSTAIRS 2.WALKING_DOWNSTAIRS 3.WALKING_DOWNSTAIRS 4.WALKING_DOWNSTAIRS 5.WALKING_DOWNSTAIRS 6.WALKING_DOWNSTAIRS 7.WALKING_DOWNSTAIRS 8.WALKING_DOWNSTAIRS 9.WALKING_DOWNSTAIRS 10.WALKING_DOWNSTAIRS 11.WALKING_DOWNSTAIRS 12.WALKING_DOWNSTAIRS 13.WALKING_DOWNSTAIRS 14.WALKING_DOWNSTAIRS 15.WALKING_DOWNSTAIRS 16.WALKING_DOWNSTAIRS 17.WALKING_DOWNSTAIRS 18.WALKING_DOWNSTAIRS 19.WALKING_DOWNSTAIRS 20.WALKING_DOWNSTAIRS 21.WALKING_DOWNSTAIRS 22.WALKING_DOWNSTAIRS 23.WALKING_DOWNSTAIRS 24.WALKING_DOWNSTAIRS 25.WALKING_DOWNSTAIRS 26.WALKING_DOWNSTAIRS 27.WALKING_DOWNSTAIRS 28.WALKING_DOWNSTAIRS 29.WALKING_DOWNSTAIRS 30.WALKING_DOWNSTAIRS 1.WALKING_UPSTAIRS 2.WALKING_UPSTAIRS 3.WALKING_UPSTAIRS 4.WALKING_UPSTAIRS 5.WALKING_UPSTAIRS 6.WALKING_UPSTAIRS 7.WALKING_UPSTAIRS 8.WALKING_UPSTAIRS 9.WALKING_UPSTAIRS 10.WALKING_UPSTAIRS 11.WALKING_UPSTAIRS 12.WALKING_UPSTAIRS 13.WALKING_UPSTAIRS 14.WALKING_UPSTAIRS 15.WALKING_UPSTAIRS 16.WALKING_UPSTAIRS 17.WALKING_UPSTAIRS 18.WALKING_UPSTAIRS 19.WALKING_UPSTAIRS 20.WALKING_UPSTAIRS 21.WALKING_UPSTAIRS 22.WALKING_UPSTAIRS 23.WALKING_UPSTAIRS 24.WALKING_UPSTAIRS 25.WALKING_UPSTAIRS 26.WALKING_UPSTAIRS 27.WALKING_UPSTAIRS 28.WALKING_UPSTAIRS 29.WALKING_UPSTAIRS 30.WALKING_UPSTAIRS
tGravityAccMag.mean -0.841929 -0.977435 -0.972791 -0.954558 -0.966778 -0.918879 -0.936392 -0.935309 -0.930868 -0.956782 -0.980621 -0.948205 -0.960518 -0.905978 -0.955341 -0.961835 -0.953021 -0.986456 -0.966261 -0.960743 -0.952597 -0.934994 -0.962959 -0.971854 -0.560478 -0.976785 -0.982092 -0.958112 -0.986493 -0.96983 -0.948537 -0.967894 -0.895383 -0.935695 -0.937978 -0.949544 -0.918432 -0.95214 -0.893362 -0.960757 -0.961971 -0.952177 -0.957691 -0.944198 -0.95867 -0.96188 -0.972747 -0.983674 -0.962074 -0.952738 -0.974735 -0.942167 -0.944081 -0.968979 -0.970409 -0.95308 -0.979482 -0.95579 -0.978017 -0.957487 -0.984278 -0.965875 -0.925431 -0.906478 -0.906105 -0.945023 -0.942725 -0.953763 -0.945167 -0.951989 -0.984854 -0.94146 -0.971564 -0.943457 -0.961208 -0.969949 -0.977636 -0.972607 -0.960506 -0.922407 -0.958774 -0.954808 -0.957212 -0.950061 -0.972664 -0.968512 -0.972753 -0.925472 -0.984745 -0.930574 -0.136971 -0.290408 -0.25469 -0.312051 -0.158339 -0.166841 -0.097809 0.051679 -0.098084 -0.127401 -0.288323 -0.102205 -0.135644 -0.144405 -0.186515 -0.258767 -0.151151 -0.287908 0.064817 0.039402 -0.123456 0.072242 -0.098877 -0.299984 -0.405289 -0.223399 -0.238854 -0.180666 -0.095521 -0.19514 0.027188 0.089951 -0.062813 -0.049162 0.211139 0.333755 0.01988 0.176599 0.145886 0.250844 0.126228 0.018314 -0.029463 0.185538 0.320449 0.19108 0.148951 -0.293532 0.644604 0.221852 0.245772 0.330999 0.127211 -0.07377 -0.220109 0.114379 0.108071 0.104359 0.103705 -0.03739 -0.129928 -0.107323 -0.184015 -0.153704 0.043556 0.017779 -0.198074 0.121027 -0.260728 -0.026662 -0.132595 -0.229184 -0.101154 0.140108 -0.000971 -0.23399 -0.012806 -0.279146 0.017381 0.008725 -0.081045 0.210283 -0.011754 -0.226403 -0.305772 -0.142874 -0.160589 -0.186241 0.008344 -0.137628
tGravityAccMag.std -0.795145 -0.972874 -0.964218 -0.931292 -0.958613 -0.897326 -0.90704 -0.91325 -0.915127 -0.940302 -0.972892 -0.936543 -0.947945 -0.856593 -0.943314 -0.957896 -0.948258 -0.986465 -0.963193 -0.939489 -0.942186 -0.909408 -0.957872 -0.969355 -0.649255 -0.964355 -0.97892 -0.954574 -0.981572 -0.960168 -0.927078 -0.953081 -0.870302 -0.914408 -0.920939 -0.931573 -0.881958 -0.929944 -0.863756 -0.93967 -0.944582 -0.947517 -0.937936 -0.925496 -0.937978 -0.941051 -0.965065 -0.981595 -0.951756 -0.937764 -0.971994 -0.924336 -0.924963 -0.96378 -0.960003 -0.933603 -0.969527 -0.947783 -0.96929 -0.942901 -0.981943 -0.957875 -0.915143 -0.890977 -0.879774 -0.93931 -0.93359 -0.937187 -0.936105 -0.937265 -0.980305 -0.935233 -0.96852 -0.936736 -0.9486 -0.957294 -0.975377 -0.972286 -0.962549 -0.910672 -0.95692 -0.939866 -0.95167 -0.947901 -0.968076 -0.962697 -0.96636 -0.917658 -0.981746 -0.91657 -0.219689 -0.422544 -0.328429 -0.527679 -0.377179 -0.266734 -0.198555 -0.180407 -0.379429 -0.185602 -0.487736 -0.236973 -0.292546 -0.363806 -0.323878 -0.471809 -0.461838 -0.460346 -0.099393 -0.15693 -0.29971 -0.161592 -0.209989 -0.481064 -0.565601 -0.421848 -0.407356 -0.392694 -0.262695 -0.359873 0.019884 0.215586 -0.041134 -0.081956 0.205422 0.373612 0.214544 0.131338 0.26512 0.156998 0.050774 0.097261 -0.01561 0.428406 0.353204 0.119184 0.091408 -0.229934 0.413472 0.172636 0.264342 0.133267 0.230364 -0.022484 -0.259465 0.147002 0.121176 0.135466 0.134481 -0.013577 -0.324971 -0.205977 -0.333597 -0.212012 -0.136736 -0.079151 -0.334745 -0.2272 -0.400222 -0.211537 -0.289592 -0.285844 -0.32634 -0.019769 -0.136552 -0.334795 -0.102878 -0.371842 -0.177667 -0.19827 -0.278474 -0.158757 -0.271894 -0.306854 -0.480007 -0.150707 -0.379949 -0.211929 -0.04147 -0.327411
tBodyAccJerkMag.mean -0.954396 -0.987742 -0.979485 -0.970096 -0.980141 -0.954751 -0.980127 -0.973147 -0.963375 -0.976234 -0.983331 -0.969844 -0.985468 -0.972576 -0.97989 -0.98835 -0.981608 -0.988322 -0.984784 -0.98467 -0.9828 -0.97117 -0.98701 -0.985529 -0.962161 -0.989971 -0.988373 -0.978455 -0.992725 -0.979233 -0.987364 -0.986775 -0.969081 -0.970132 -0.96932 -0.962734 -0.97656 -0.986062 -0.964384 -0.988054 -0.979356 -0.974734 -0.989498 -0.976521 -0.986108 -0.987473 -0.992815 -0.98987 -0.986424 -0.978775 -0.985947 -0.979304 -0.982376 -0.985556 -0.989545 -0.990898 -0.989467 -0.973274 -0.99072 -0.987799 -0.992368 -0.980489 -0.959304 -0.963371 -0.956864 -0.967102 -0.973381 -0.984921 -0.969525 -0.965164 -0.989242 -0.968791 -0.9868 -0.972966 -0.981495 -0.989205 -0.991743 -0.985965 -0.983069 -0.956625 -0.974765 -0.975876 -0.978671 -0.977621 -0.984647 -0.986985 -0.985348 -0.959552 -0.990785 -0.971225 -0.141429 -0.281424 -0.280009 -0.366701 -0.288333 -0.195117 -0.192949 -0.066832 -0.203734 -0.132625 -0.402333 -0.144065 -0.133205 -0.377293 -0.320129 -0.363144 -0.301093 -0.379269 0.109451 -0.042936 -0.148139 0.02292 -0.067082 -0.399722 -0.538291 -0.290758 -0.230501 -0.299223 -0.240232 -0.352112 -0.089447 0.005655 -0.205239 -0.228851 -0.063753 0.103845 -0.17032 0.262628 -0.162376 0.050701 -0.198206 -0.107091 -0.127926 0.03536 -0.037267 -0.165909 -0.221632 -0.466516 0.43449 -0.06127 -0.080224 -0.017978 0.112982 -0.263107 -0.500483 -0.148856 -0.115421 -0.070756 -0.138638 -0.293739 -0.466503 -0.321269 -0.436901 -0.400922 -0.247403 -0.20738 -0.458695 -0.141495 -0.440668 -0.262038 -0.509588 -0.432469 -0.45619 -0.283664 -0.31605 -0.483219 -0.357234 -0.601464 -0.11419 -0.255611 -0.355048 -0.095784 -0.311144 -0.488488 -0.679161 -0.404464 -0.479067 -0.388086 -0.344325 -0.5966
tBodyAccJerkMag.std -0.928246 -0.985518 -0.976121 -0.960786 -0.977477 -0.950342 -0.967311 -0.962955 -0.955027 -0.967557 -0.976505 -0.962581 -0.980066 -0.966451 -0.973644 -0.987891 -0.980127 -0.989526 -0.980668 -0.980162 -0.978553 -0.95985 -0.986686 -0.983606 -0.961932 -0.989102 -0.988587 -0.973313 -0.994647 -0.969642 -0.98412 -0.984476 -0.96655 -0.962549 -0.965758 -0.948182 -0.970243 -0.980667 -0.95178 -0.98521 -0.974512 -0.972746 -0.988813 -0.973343 -0.984639 -0.983615 -0.991446 -0.991159 -0.984205 -0.972538 -0.986521 -0.968577 -0.973669 -0.985418 -0.988312 -0.989986 -0.989201 -0.970302 -0.990532 -0.986058 -0.993096 -0.976675 -0.94877 -0.958159 -0.942962 -0.956099 -0.968566 -0.979932 -0.963764 -0.952058 -0.988854 -0.962679 -0.981866 -0.970437 -0.979995 -0.986762 -0.990363 -0.986015 -0.979641 -0.938454 -0.971607 -0.958825 -0.974812 -0.973108 -0.982637 -0.982626 -0.984159 -0.954068 -0.990496 -0.950762 -0.074472 -0.164151 -0.139916 -0.316919 -0.282242 -0.070603 -0.027557 -0.184571 -0.317113 0.037608 -0.403141 -0.020285 -0.131789 -0.439747 -0.310071 -0.403387 -0.275673 -0.425419 0.035656 0.021077 -0.083849 0.111533 -0.026819 -0.409825 -0.54287 -0.279351 -0.266139 -0.39045 -0.133036 -0.353751 -0.025788 0.229617 -0.092632 -0.216859 -0.029257 0.209502 0.090184 0.253408 0.039908 0.110877 -0.127017 0.065578 -0.043396 0.194709 0.159632 -0.07835 -0.206577 -0.382517 0.450612 0.046719 0.095234 -0.033764 0.292087 -0.143502 -0.482977 -0.111304 -0.038637 -0.041887 -0.030769 -0.125283 -0.478992 -0.217389 -0.439021 -0.437261 -0.310187 -0.16997 -0.471266 -0.228296 -0.445485 -0.22601 -0.490486 -0.329828 -0.451226 -0.337086 -0.313364 -0.493067 -0.390912 -0.57933 -0.284061 -0.239444 -0.404184 -0.08765 -0.362709 -0.441069 -0.674513 -0.334531 -0.464611 -0.325362 -0.254485 -0.561838
tBodyGyroMag.mean -0.87476 -0.950012 -0.951565 -0.930236 -0.946938 -0.90898 -0.915794 -0.924253 -0.907125 -0.937591 -0.952524 -0.930841 -0.944303 -0.904665 -0.944605 -0.951777 -0.960733 -0.980741 -0.953263 -0.960447 -0.949279 -0.926616 -0.949418 -0.953792 -0.809689 -0.951864 -0.966918 -0.937107 -0.971924 -0.962285 -0.930892 -0.946035 -0.919354 -0.926063 -0.934302 -0.932704 -0.897871 -0.932682 -0.903236 -0.944202 -0.951884 -0.941907 -0.951143 -0.942756 -0.957332 -0.946417 -0.967178 -0.977635 -0.942229 -0.939574 -0.964971 -0.942077 -0.936593 -0.964633 -0.966569 -0.954053 -0.963565 -0.955176 -0.962377 -0.955847 -0.976494 -0.963466 -0.892089 -0.900982 -0.900672 -0.939405 -0.943426 -0.952848 -0.92103 -0.929787 -0.979978 -0.888101 -0.957825 -0.94353 -0.946961 -0.972528 -0.978185 -0.963007 -0.941745 -0.883675 -0.949837 -0.931624 -0.93843 -0.954519 -0.967077 -0.968674 -0.968703 -0.894242 -0.980657 -0.913891 -0.16098 -0.446549 -0.466412 -0.497792 -0.355933 -0.281208 -0.305959 -0.003102 -0.294542 -0.156459 -0.421802 -0.35593 -0.21867 -0.137209 -0.243711 -0.485932 -0.33501 -0.500471 0.100045 0.068628 -0.284776 -0.210608 -0.012097 -0.403064 -0.394362 -0.392092 -0.396639 -0.310776 -0.280573 -0.022964 -0.075741 -0.162189 -0.215295 -0.346606 -0.21803 0.014268 -0.188741 0.099343 -0.168921 -0.023847 -0.197883 -0.213352 -0.102114 0.16634 -0.121686 -0.30982 -0.232642 -0.381023 0.418005 0.093842 -0.18485 -0.161333 0.039092 -0.304966 -0.216083 -0.235315 -0.164783 -0.068246 -0.122968 -0.095537 -0.126736 -0.219713 -0.347322 -0.299779 -0.235517 -0.129121 -0.239099 0.166448 -0.083323 0.043857 -0.255048 -0.316562 -0.237183 0.365779 -0.201217 -0.308261 -0.235191 -0.369109 -0.061616 0.02233 -0.168983 -0.128032 -0.156527 -0.334436 -0.318635 -0.344427 -0.286146 -0.263415 0.043963 -0.113608
tBodyGyroMag.std -0.81901 -0.961164 -0.954275 -0.947032 -0.958288 -0.920914 -0.918662 -0.932471 -0.898558 -0.927471 -0.954713 -0.935726 -0.944687 -0.913433 -0.924043 -0.95902 -0.959325 -0.980561 -0.955907 -0.962154 -0.949289 -0.923912 -0.957228 -0.95783 -0.856017 -0.965677 -0.971916 -0.928941 -0.97704 -0.951264 -0.934532 -0.961314 -0.925518 -0.928898 -0.931415 -0.921259 -0.898063 -0.953002 -0.906606 -0.963065 -0.959964 -0.946769 -0.963941 -0.947081 -0.963475 -0.937942 -0.97541 -0.981373 -0.950492 -0.94107 -0.971225 -0.933268 -0.937006 -0.969257 -0.970639 -0.964742 -0.970782 -0.951066 -0.971578 -0.960641 -0.97869 -0.953943 -0.882125 -0.885144 -0.867042 -0.915892 -0.918439 -0.953225 -0.908291 -0.920487 -0.977071 -0.852272 -0.94498 -0.931426 -0.931287 -0.964106 -0.977681 -0.959797 -0.937951 -0.843683 -0.945614 -0.900777 -0.923797 -0.953105 -0.959884 -0.962654 -0.965693 -0.876918 -0.975359 -0.887248 -0.186978 -0.55302 -0.561511 -0.553116 -0.492177 -0.365603 -0.198283 -0.238747 -0.489726 -0.402025 -0.558363 -0.413208 -0.25324 -0.201402 -0.425798 -0.665078 -0.522495 -0.60851 -0.021846 -0.036785 -0.408304 -0.390776 0.163346 -0.563863 -0.489809 -0.538329 -0.482452 -0.460512 -0.358814 -0.266846 -0.225724 -0.274844 -0.245795 -0.380573 -0.360678 -0.042628 -0.259752 -0.046629 -0.322331 -0.280383 -0.33935 -0.320459 -0.236763 -0.066514 -0.28425 -0.422315 -0.352687 -0.507995 0.237821 -0.030576 -0.38842 -0.263922 0.053997 -0.363695 -0.382161 -0.296158 -0.307952 -0.224484 -0.26741 -0.208268 -0.148619 -0.377532 -0.408887 -0.510974 -0.354688 -0.199894 -0.418145 -0.109328 -0.42584 -0.113063 -0.37791 -0.525687 -0.415659 0.299976 -0.288429 -0.51819 -0.440837 -0.528058 -0.264401 -0.25393 -0.420236 -0.202558 -0.366733 -0.503929 -0.387754 -0.514032 -0.501775 -0.476923 -0.080048 -0.169294
tBodyGyroJerkMag.mean -0.963461 -0.991767 -0.986714 -0.985069 -0.986419 -0.955646 -0.983009 -0.978438 -0.964525 -0.970831 -0.990641 -0.971068 -0.985446 -0.975621 -0.983235 -0.99084 -0.985542 -0.993095 -0.985342 -0.98675 -0.985916 -0.981717 -0.984557 -0.982781 -0.969783 -0.992198 -0.994355 -0.97822 -0.997323 -0.985086 -0.991976 -0.991081 -0.977998 -0.98049 -0.973848 -0.962929 -0.981665 -0.991807 -0.973364 -0.993707 -0.989519 -0.980392 -0.992604 -0.988318 -0.992189 -0.992445 -0.996335 -0.994873 -0.98945 -0.98301 -0.990307 -0.985476 -0.986514 -0.991306 -0.992865 -0.994466 -0.994035 -0.981213 -0.995392 -0.993737 -0.994967 -0.983952 -0.962339 -0.967614 -0.958406 -0.963406 -0.977377 -0.987581 -0.969824 -0.971638 -0.993428 -0.96929 -0.983638 -0.974873 -0.984407 -0.992849 -0.993673 -0.988686 -0.985802 -0.947937 -0.976857 -0.978604 -0.976399 -0.982387 -0.985092 -0.988545 -0.989532 -0.959681 -0.992145 -0.972995 -0.298704 -0.547912 -0.566135 -0.681304 -0.444532 -0.32129 -0.300023 -0.339129 -0.510254 -0.440364 -0.630733 -0.517494 -0.303508 -0.519895 -0.54398 -0.671542 -0.517167 -0.636486 -0.1647 -0.194893 -0.426931 -0.462 0.011531 -0.507825 -0.678466 -0.512399 -0.562587 -0.546249 -0.506242 -0.472069 -0.295464 -0.410873 -0.508568 -0.592843 -0.397196 -0.082937 -0.39923 -0.126189 -0.469028 -0.401854 -0.599295 -0.442831 -0.323552 -0.275121 -0.509467 -0.590897 -0.540326 -0.701663 0.087582 -0.268183 -0.452829 -0.45958 -0.046312 -0.497152 -0.664714 -0.41878 -0.440547 -0.340417 -0.539174 -0.574337 -0.594883 -0.572816 -0.658861 -0.686978 -0.473488 -0.342895 -0.66197 -0.400664 -0.672841 -0.523463 -0.757315 -0.674972 -0.631965 -0.399922 -0.663637 -0.737705 -0.637367 -0.781653 -0.372791 -0.371928 -0.577936 -0.568112 -0.504367 -0.658752 -0.777106 -0.6481 -0.699895 -0.62028 -0.617341 -0.71878
tBodyGyroJerkMag.std -0.935841 -0.989718 -0.983139 -0.982698 -0.983771 -0.953157 -0.971205 -0.969029 -0.952802 -0.959633 -0.984476 -0.962012 -0.975113 -0.96401 -0.97365 -0.988212 -0.982038 -0.992153 -0.980246 -0.981079 -0.982246 -0.974202 -0.981315 -0.978659 -0.96831 -0.989917 -0.993484 -0.969773 -0.997666 -0.976177 -0.988309 -0.989595 -0.976773 -0.975807 -0.970393 -0.950151 -0.976214 -0.986757 -0.966361 -0.991696 -0.986257 -0.978261 -0.991415 -0.986964 -0.98972 -0.988261 -0.994447 -0.994869 -0.985831 -0.975076 -0.990302 -0.976504 -0.979227 -0.990725 -0.991766 -0.994033 -0.992113 -0.978442 -0.994905 -0.99128 -0.994733 -0.977204 -0.95768 -0.964283 -0.947971 -0.952536 -0.972108 -0.98246 -0.965287 -0.964409 -0.992579 -0.961923 -0.976198 -0.966834 -0.981433 -0.990809 -0.992372 -0.98852 -0.983069 -0.926329 -0.976154 -0.966086 -0.972387 -0.979996 -0.983231 -0.984254 -0.98882 -0.956266 -0.991454 -0.955996 -0.325325 -0.557798 -0.567372 -0.730146 -0.4892 -0.364708 -0.09534 -0.502957 -0.599866 -0.501028 -0.753671 -0.54889 -0.322118 -0.606103 -0.637786 -0.722808 -0.539708 -0.726592 -0.271487 -0.149864 -0.45037 -0.503106 0.250173 -0.556023 -0.757033 -0.603469 -0.618719 -0.579861 -0.612223 -0.546977 -0.306511 -0.343188 -0.583919 -0.63708 -0.450303 -0.111228 -0.294779 -0.157485 -0.455855 -0.494106 -0.677751 -0.45245 -0.276492 -0.274744 -0.56364 -0.595822 -0.592319 -0.74416 -0.043899 -0.275592 -0.509131 -0.617659 0.059491 -0.45916 -0.679606 -0.463141 -0.465808 -0.407132 -0.597057 -0.617662 -0.648553 -0.597292 -0.718028 -0.75527 -0.557988 -0.44008 -0.676428 -0.493975 -0.748651 -0.618272 -0.801127 -0.713407 -0.669216 -0.485819 -0.748955 -0.797293 -0.682312 -0.835525 -0.5074 -0.455396 -0.647723 -0.675633 -0.551275 -0.63818 -0.824883 -0.66183 -0.724671 -0.670132 -0.712846 -0.774439
fBodyAcc.mean.X -0.939099 -0.976725 -0.980666 -0.958802 -0.968742 -0.939114 -0.953424 -0.953539 -0.946865 -0.969184 -0.983801 -0.956248 -0.974717 -0.933936 -0.974016 -0.980213 -0.974359 -0.98518 -0.974534 -0.965729 -0.968234 -0.953759 -0.970037 -0.975894 -0.929147 -0.973262 -0.980632 -0.973931 -0.986627 -0.97479 -0.979641 -0.985804 -0.970154 -0.977462 -0.977451 -0.975351 -0.972697 -0.981143 -0.959414 -0.984943 -0.981481 -0.979666 -0.990135 -0.976457 -0.98662 -0.987044 -0.993969 -0.993145 -0.979238 -0.981203 -0.99061 -0.978505 -0.986326 -0.98953 -0.991405 -0.98258 -0.988682 -0.97982 -0.991094 -0.985009 -0.99525 -0.983947 -0.960123 -0.973498 -0.964501 -0.9771 -0.976682 -0.98822 -0.971663 -0.9701 -0.993808 -0.976469 -0.989426 -0.9727 -0.986725 -0.989428 -0.990928 -0.99041 -0.987352 -0.961933 -0.978328 -0.980374 -0.983627 -0.984184 -0.990093 -0.991993 -0.990122 -0.97252 -0.995024 -0.972014 -0.202794 -0.346048 -0.316614 -0.426719 -0.287783 -0.187934 -0.343048 -0.247389 -0.294711 -0.11419 -0.396534 -0.054358 -0.33503 -0.421498 -0.317441 -0.39479 -0.360992 -0.371475 -0.029982 -0.147404 -0.273496 -0.099493 -0.275404 -0.49242 -0.609039 -0.32196 -0.308702 -0.280062 -0.13582 -0.351403 0.038229 0.112841 -0.042171 -0.072239 0.098432 0.328309 0.044343 0.13659 0.103129 0.215665 0.035194 0.023505 -0.07266 0.021254 0.23531 0.036826 -0.022624 -0.350087 0.537012 -0.034331 0.104324 0.195348 0.205428 -0.222324 -0.372245 0.0228 0.082983 0.089072 0.110663 -0.106967 -0.404322 -0.266721 -0.392004 -0.294488 -0.161485 -0.131075 -0.336199 -0.166411 -0.342736 -0.139411 -0.355349 -0.321448 -0.382461 -0.323508 -0.074633 -0.474984 -0.139752 -0.465097 -0.156879 -0.140439 -0.319169 -0.0554 -0.272606 -0.395791 -0.52165 -0.242821 -0.417607 -0.266101 -0.109793 -0.420403
fBodyAcc.mean.Y -0.867065 -0.979801 -0.96117 -0.938883 -0.96542 -0.923707 -0.942194 -0.951817 -0.934367 -0.954342 -0.971404 -0.951266 -0.965844 -0.930367 -0.962461 -0.963636 -0.954648 -0.98491 -0.972799 -0.965596 -0.960069 -0.925525 -0.982072 -0.98083 -0.784946 -0.983664 -0.982916 -0.958436 -0.989034 -0.959974 -0.944085 -0.957343 -0.891908 -0.905783 -0.921435 -0.928264 -0.931491 -0.94422 -0.911683 -0.94045 -0.934503 -0.942768 -0.959674 -0.932645 -0.938926 -0.961457 -0.969928 -0.976539 -0.960763 -0.945199 -0.968061 -0.939546 -0.95346 -0.962773 -0.959117 -0.954299 -0.974058 -0.946352 -0.96961 -0.954076 -0.977071 -0.959872 -0.908075 -0.889549 -0.890796 -0.930336 -0.941884 -0.950049 -0.944849 -0.923379 -0.968703 -0.932776 -0.959428 -0.942178 -0.943349 -0.969314 -0.974171 -0.961239 -0.952873 -0.898194 -0.949695 -0.929161 -0.962832 -0.94897 -0.959846 -0.958402 -0.961356 -0.89343 -0.973346 -0.919475 0.089713 -0.021905 -0.081302 -0.1494 0.00946 0.140782 -0.064156 0.316982 -0.257678 0.053391 -0.083048 -0.071302 0.095515 -0.174602 0.111321 -0.321501 -0.065027 -0.243606 0.169259 0.403466 0.033847 0.145368 -0.072437 -0.203194 -0.25188 -0.146702 -0.136784 -0.127912 -0.034964 -0.193857 0.00155 0.278345 -0.0077 -0.129607 0.079228 0.339771 -0.145302 0.388413 -0.18312 0.009047 0.024751 0.15051 -0.036454 0.371482 0.167518 -0.134598 -0.130273 -0.30905 0.494458 0.524188 0.181138 0.225767 0.095943 -0.086183 -0.196381 -0.006237 -0.062673 0.186442 -0.021229 -0.021664 -0.190977 0.009924 -0.078809 -0.117109 0.07289 0.097804 -0.381591 0.263431 -0.405023 -0.039069 -0.254645 -0.168342 -0.063656 0.016394 -0.101935 -0.268064 -0.11752 -0.363451 0.111818 -0.029383 0.02216 0.130687 -0.076977 -0.252413 -0.380151 -0.185528 -0.249689 -0.190589 -0.196012 -0.297814
fBodyAcc.mean.Z -0.882667 -0.984381 -0.968332 -0.967504 -0.977008 -0.938045 -0.958612 -0.94427 -0.945919 -0.964301 -0.973577 -0.954725 -0.966296 -0.927882 -0.951566 -0.97458 -0.965406 -0.988607 -0.98534 -0.976393 -0.961772 -0.954219 -0.977515 -0.976635 -0.816198 -0.984923 -0.987357 -0.961116 -0.989474 -0.970322 -0.959185 -0.970162 -0.917988 -0.951784 -0.946064 -0.935798 -0.904675 -0.959436 -0.892201 -0.974645 -0.972855 -0.954627 -0.956183 -0.944126 -0.963227 -0.959552 -0.974842 -0.982996 -0.966335 -0.947597 -0.970859 -0.946635 -0.942031 -0.966992 -0.974776 -0.967519 -0.974666 -0.952227 -0.975623 -0.966274 -0.985297 -0.962471 -0.939508 -0.931643 -0.915084 -0.942864 -0.938551 -0.950363 -0.941687 -0.955272 -0.98767 -0.947178 -0.977567 -0.942422 -0.965474 -0.97 -0.980232 -0.975773 -0.968543 -0.929986 -0.960274 -0.957102 -0.945171 -0.953818 -0.974051 -0.973215 -0.974146 -0.934503 -0.984096 -0.93809 -0.33156 -0.453806 -0.412374 -0.631005 -0.490251 -0.49852 0.038583 -0.238635 -0.250806 -0.412183 -0.616403 -0.422325 -0.246852 -0.177366 -0.554942 -0.244363 -0.382833 -0.489771 -0.104423 -0.272214 -0.300309 -0.255217 0.081408 -0.344493 -0.533563 -0.33954 -0.312373 -0.356338 -0.279735 -0.309559 -0.225574 -0.131291 -0.404452 -0.494683 -0.37474 -0.277603 -0.139216 0.15959 -0.103706 -0.157728 -0.377625 -0.402121 -0.151179 0.280736 -0.259812 -0.047694 -0.318082 -0.505824 0.110659 -0.188099 -0.076971 -0.322796 0.280519 -0.173825 -0.556097 -0.27964 -0.2416 -0.308162 -0.266692 -0.258067 -0.43335 -0.281002 -0.504495 -0.524656 -0.457471 -0.427248 -0.317461 -0.07295 -0.38471 -0.301206 -0.551742 -0.560841 -0.404785 0.191694 -0.539591 -0.335853 -0.399923 -0.522728 -0.219644 -0.318432 -0.321713 -0.22802 -0.070577 -0.312792 -0.542932 -0.499503 -0.418886 -0.401733 -0.320488 -0.36752
